"TimePeriod","CampaignId","CampaignName","DeviceType","Network","Impressions","Clicks","Spend","Ctr","AverageCpc","QualityScore","AdDistribution","AverageCpm"
"2019-09-14","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","3830","36","6.62","0.94%","0.18","--","Search","1.73"
"2019-09-14","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","424","5","1.14","1.18%","0.23","--","Search","2.69"
"2019-09-14","353847373","Main Shopping - Important Items","Computer","AOL search","12","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-14","353847373","Main Shopping - Important Items","Computer","Audience","40","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-14","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","367","6","0.55","1.63%","0.09","--","Search","1.50"
"2019-09-14","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","10982","31","0.85","0.28%","0.03","--","Search","0.08"
"2019-09-14","353847373","Main Shopping - Important Items","Smartphone","Audience","38","1","0.10","2.63%","0.10","--","Audience","2.63"
"2019-09-14","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","48","1","0.11","2.08%","0.11","--","Search","2.29"
"2019-09-14","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","324","1","0.02","0.31%","0.02","--","Search","0.06"
"2019-09-15","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","3724","35","5.83","0.94%","0.17","--","Search","1.57"
"2019-09-15","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","331","1","0.10","0.30%","0.10","--","Search","0.30"
"2019-09-15","353847373","Main Shopping - Important Items","Computer","AOL search","10","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-15","353847373","Main Shopping - Important Items","Computer","Audience","38","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-15","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","311","5","0.50","1.61%","0.10","--","Search","1.61"
"2019-09-15","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","8945","30","0.70","0.34%","0.02","--","Search","0.08"
"2019-09-15","353847373","Main Shopping - Important Items","Smartphone","Audience","26","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-15","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","106","1","0.10","0.94%","0.10","--","Search","0.94"
"2019-09-15","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","303","2","0.08","0.66%","0.04","--","Search","0.26"
"2019-09-15","353847373","Main Shopping - Important Items","Tablet","Audience","2","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-16","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","23634","230","131.66","0.97%","0.57","--","Search","5.57"
"2019-09-16","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1489","12","4.02","0.81%","0.34","--","Search","2.70"
"2019-09-16","353847373","Main Shopping - Important Items","Computer","AOL search","87","1","0.10","1.15%","0.10","--","Search","1.15"
"2019-09-16","353847373","Main Shopping - Important Items","Computer","Audience","3252","19","15.69","0.58%","0.83","--","Audience","4.82"
"2019-09-16","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1235","9","1.72","0.73%","0.19","--","Search","1.39"
"2019-09-16","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","18186","77","5.70","0.42%","0.07","--","Search","0.31"
"2019-09-16","353847373","Main Shopping - Important Items","Smartphone","Audience","1520","6","2.80","0.39%","0.47","--","Audience","1.84"
"2019-09-16","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","162","1","0.05","0.62%","0.05","--","Search","0.31"
"2019-09-16","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","697","3","0.16","0.43%","0.05","--","Search","0.23"
"2019-09-16","353847373","Main Shopping - Important Items","Tablet","Audience","7","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-17","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","23060","277","166.87","1.20%","0.60","--","Search","7.24"
"2019-09-17","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1558","7","4.52","0.45%","0.65","--","Search","2.90"
"2019-09-17","353847373","Main Shopping - Important Items","Computer","AOL search","64","2","1.04","3.13%","0.52","--","Search","16.25"
"2019-09-17","353847373","Main Shopping - Important Items","Computer","Audience","3472","21","15.59","0.60%","0.74","--","Audience","4.49"
"2019-09-17","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1355","11","2.94","0.81%","0.27","--","Search","2.17"
"2019-09-17","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","18190","90","5.99","0.49%","0.07","--","Search","0.33"
"2019-09-17","353847373","Main Shopping - Important Items","Smartphone","Audience","631","3","0.46","0.48%","0.15","--","Audience","0.73"
"2019-09-17","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","171","2","0.49","1.17%","0.25","--","Search","2.87"
"2019-09-17","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","964","4","0.50","0.41%","0.13","--","Search","0.52"
"2019-09-17","353847373","Main Shopping - Important Items","Tablet","Audience","7","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-18","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","26188","241","154.98","0.92%","0.64","--","Search","5.92"
"2019-09-18","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1483","4","1.44","0.27%","0.36","--","Search","0.97"
"2019-09-18","353847373","Main Shopping - Important Items","Computer","AOL search","101","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-18","353847373","Main Shopping - Important Items","Computer","Audience","4437","14","9.91","0.32%","0.71","--","Audience","2.23"
"2019-09-18","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1705","15","3.33","0.88%","0.22","--","Search","1.95"
"2019-09-18","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","18022","83","5.41","0.46%","0.07","--","Search","0.30"
"2019-09-18","353847373","Main Shopping - Important Items","Smartphone","Audience","2196","14","6.08","0.64%","0.43","--","Audience","2.77"
"2019-09-18","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","157","1","0.49","0.64%","0.49","--","Search","3.12"
"2019-09-18","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","652","3","0.20","0.46%","0.07","--","Search","0.31"
"2019-09-18","353847373","Main Shopping - Important Items","Tablet","Audience","13","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-19","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","22699","245","157.79","1.08%","0.64","--","Search","6.95"
"2019-09-19","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1390","11","4.79","0.79%","0.44","--","Search","3.45"
"2019-09-19","353847373","Main Shopping - Important Items","Computer","AOL search","74","3","2.20","4.05%","0.73","--","Search","29.73"
"2019-09-19","353847373","Main Shopping - Important Items","Computer","Audience","3241","17","11.63","0.52%","0.68","--","Audience","3.59"
"2019-09-19","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1647","19","4.92","1.15%","0.26","--","Search","2.99"
"2019-09-19","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","15535","69","4.33","0.44%","0.06","--","Search","0.28"
"2019-09-19","353847373","Main Shopping - Important Items","Smartphone","Audience","869","7","2.24","0.81%","0.32","--","Audience","2.58"
"2019-09-19","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","178","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-19","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","521","1","0.10","0.19%","0.10","--","Search","0.19"
"2019-09-19","353847373","Main Shopping - Important Items","Tablet","Audience","8","1","0.47","12.50%","0.47","--","Audience","58.75"
"2019-09-20","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","22092","217","136.66","0.98%","0.63","--","Search","6.19"
"2019-09-20","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","1336","7","2.73","0.52%","0.39","--","Search","2.04"
"2019-09-20","353847373","Main Shopping - Important Items","Computer","AOL search","140","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-20","353847373","Main Shopping - Important Items","Computer","Audience","3645","25","20.65","0.69%","0.83","--","Audience","5.67"
"2019-09-20","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","1347","13","2.72","0.97%","0.21","--","Search","2.02"
"2019-09-20","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","15423","63","4.34","0.41%","0.07","--","Search","0.28"
"2019-09-20","353847373","Main Shopping - Important Items","Smartphone","Audience","697","4","1.36","0.57%","0.34","--","Audience","1.95"
"2019-09-20","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","177","1","0.15","0.56%","0.15","--","Search","0.85"
"2019-09-20","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","507","6","0.58","1.18%","0.10","--","Search","1.14"
"2019-09-20","353847373","Main Shopping - Important Items","Tablet","AOL search","1","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-20","353847373","Main Shopping - Important Items","Tablet","Audience","8","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-21","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","3474","27","4.66","0.78%","0.17","--","Search","1.34"
"2019-09-21","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","283","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-21","353847373","Main Shopping - Important Items","Computer","AOL search","17","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-21","353847373","Main Shopping - Important Items","Computer","Audience","34","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-21","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","444","3","0.35","0.68%","0.12","--","Search","0.79"
"2019-09-21","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","9033","28","0.82","0.31%","0.03","--","Search","0.09"
"2019-09-21","353847373","Main Shopping - Important Items","Smartphone","Audience","44","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-21","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","71","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-21","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","368","1","0.05","0.27%","0.05","--","Search","0.14"
"2019-09-21","353847373","Main Shopping - Important Items","Tablet","AOL search","5","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-22","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","3742","26","3.64","0.69%","0.14","--","Search","0.97"
"2019-09-22","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","353","1","0.09","0.28%","0.09","--","Search","0.25"
"2019-09-22","353847373","Main Shopping - Important Items","Computer","AOL search","7","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-22","353847373","Main Shopping - Important Items","Computer","Audience","83","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-22","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","440","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-09-22","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","8973","32","0.93","0.36%","0.03","--","Search","0.10"
"2019-09-22","353847373","Main Shopping - Important Items","Smartphone","Audience","33","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-09-22","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","80","1","0.11","1.25%","0.11","--","Search","1.38"
"2019-09-22","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","303","1","0.05","0.33%","0.05","--","Search","0.17"
"2019-09-23","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","24918","243","147.30","0.98%","0.61","--","Search","5.91"
